PERMITTED_VALUE	DESCRIPTION	DEFINITION
Ceruminous Adenoma	None	A benign epithelial neoplasm derived from ceruminous glands in the external auditory canal. It presents as a grey mass covered by skin. It is characterized by a proliferation of glands composed of cells with abundant eosinophilic and granular cytoplasm.
Chondroblastic Osteosarcoma	None	An osteosarcoma characterised by the presence of atypical cartilage of variable cellularity.  It may or may not be associated with the presence of myxoid areas or focal bone formation.
Chondroid Chordoma	None	A slow-growing malignant bone tumor arising from the remnants of the notochord and occurring in the base of the skull. The tumor is characterized by a lobulated growth pattern, myxoid stroma formation, and the presence of physaliphorous cells and cartilage.
Chondromatosis	None	A multifocal benign neoplasm arising from bone or soft tissue.  It is characterized by the presence of chondrocytes and is composed of hyaline cartilage.
Chondromyxoid Fibroma	None	An uncommon benign neoplasm arising from the bone. It is characterized by the presence of spindle-shaped or stellate chondrocytes, a lobulated growth pattern, myxoid stroma formation, and sometimes multinucleated giant cells. It has been associated with chromosomal rearrangement of 6q13 and 6q25 bands. The most common clinical symptom is mild, localized pain.
Chordoid Glioma	None	A rare, slow-growing neuroepithelial neoplasm of uncertain origin affecting adults. It is located in the third ventricle. It is characterized by the presence of epithelioid cells which express GFAP, and mucinous stroma which contains lymphoplasmacytic infiltrates.
Choriocarcinoma Combined with Other Germ Cell Elements	None	A malignant mixed germ cell tumor characterized by the presence of a choriocarcinomatous component admixed with another germ cell component (e.g. embryonal carcinoma, teratoma, or seminoma).
Choroid Plexus Carcinoma	None	Choroid Plexus Carcinoma (WHO grade III) is a malignant Choroid Plexus Tumor which shows anaplastic features and usually invades neighboring brain structures. CSF metastases are frequent. (Adapted from WHO.)
Chromophobe Renal Cell Carcinoma	None	A type of carcinoma that comprises a minority of renal cell carcinomas.  It is characterized by loss of chromosomes 1 and Y.  Based on the cytoplasmic characteristics of the neoplastic cells, this type of carcinoma is classified as classic (typical) or eosinophilic.  It has a much better prognosis than other renal cell carcinomas.
Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	None	An indolent, mature B-cell neoplasm composed of small, round B-lymphocytes. When the bone marrow and peripheral blood are involved, the term chronic lymphocytic leukemia is used. The term small lymphocytic lymphoma is restricted to cases which do not show leukemic involvement of the bone marrow and peripheral blood.
Chronic Myelomonocytic Leukemia with Eosinophilia Associated with t(5;12)(q31;p12)	None	Chronic myelomonocytic leukemia characterized by the presence of eosinophilia, PDGFRB gene rearrangement, and t(5;12)(q31;p12).
Chronic Neutrophilic Leukemia	None	A rare chronic myeloproliferative disorder characterised by neutrophilic leukocytosis.  There is no detectable Philadelphia chromosome or BCR/ABL fusion gene.  -- 2003
Ciliary Body Benign Teratoid Medulloepithelioma	None	A rare, unilateral, benign embryonal neoplasm typically presenting as a ciliary body mass during childhood. It arises from primitive medullary epithelium and contains heterologous elements, particularly cartilage, skeletal muscle, and brain tissue.
Clear Cell Acanthoma	None	An acanthoma characterized by the presence of psoriasiform epidermal acanthosis and basal cells with pale cytoplasm.
Clear Cell Adenofibroma	None	A benign neoplasm characterized by the presence of glandular structures which contain clear cells and a fibrotic stroma.
Clear Cell Chondrosarcoma	None	A rare usually low grade malignant mesenchymal neoplasm characterized by the presence of hyaline cartilage and clear cells. It usually arises in the epiphyseal ends of long bones.
Clear Cell Meningioma	None	A WHO grade II morphologic variant of meningioma characterized by the presence of clear glycogen-rich polygonal cells.
Clear Cell Odontogenic Carcinoma	None	A usually aggressive malignant neoplasm arising from tooth-forming tissues. It more often affects older females and more frequently occurs in the mandible. It is characterized by the presence of malignant epithelial cells with clear cytoplasm and a fibrotic stroma formation. It may recur and metastasize. Metastases may occur in the lymph nodes, lungs, and bones. Treatment of choice is resection with clean margins.
Clear Cell Papillary Renal Tumor	None	An encapsulated epithelial neoplasm that arises from the kidney. It is composed of cytologically bland epithelial cells with clear cytoplasm forming tubular and papillary patterns. The nuclei are arranged linearly away from the basement membrane. Tumor necrosis, perirenal invasion, and vascular invasion are not present. The clinical course is indolent.
Clear Cell Sarcoma of Soft Tissue	None	A rare malignant neoplasm with melanocytic differentiation characterized by the presence of polygonal or spindle shaped clear cells. This sarcoma usually affects the tendons and aponeuroses and is associated with a poor prognosis due to recurrences and metastases.
Collecting Duct Carcinoma	None	Also known as collecting duct carcinoma, this is a rare type of renal carcinoma. It arises from the collecting ducts of the renal medulla, and most authors suggest that this is an aggressive tumor.
Columnar Cell Variant Thyroid Gland Papillary Carcinoma	None	A morphologic variant of papillary carcinoma of the thyroid gland characterized by the presence of pseudostratified malignant follicular cells.
Combined Hepatocellular Carcinoma and Cholangiocarcinoma	None	A rare tumor containing unequivocal elements of both hepatocellular and cholangiocarcinoma that are intimately admixed.  This tumor should be distinguished from separate hepatocellular carcinoma and cholangiocarcinoma arising in the same liver.  The prognosis of this tumor is poor.
Comedocarcinoma	None	A high grade carcinoma characterized by the presence of comedo-type of tumor cell necrosis in which the necrotic areas are surrounded by a solid proliferation of malignant pleomorphic cells.
Composite Gangliocytoma/Neuroma and Neuroendocrine Tumor	None	A usually indolent neuroendocrine neoplasm that almost exclusively arises in the second part of the duodenum. Rare sites of involvement include jejunum, pylorus, appendix, thymus, and lung. It is a triphasic tumor consisting of a mixture of epithelioid neuroendocrine cells, Schwann-like cells, and ganglion cell-like elements.
Compound Nevus	None	A nevus composed of neoplastic melanocytes that infiltrate both the epidermis and the dermis.
Congenital Melanocytic Nevus	None	A melanocytic nevus that is present at birth. It may present as a small macular, papular, or plaque-like lesion or as a large brown to black hairy skin lesion.
Conventional Osteosarcoma	None	A high grade malignant bone-forming mesenchymal neoplasm producing osteoid. The tumor arises from the medullary portion of the bone. It affects the long bones and most commonly, the distal femur, proximal tibia, and proximal humerus. Pain with or without a palpable mass is the most common clinical presentation. It usually has an aggressive growth and may metastasize through the hematogenous route. The lung is the most frequent site of metastasis.
Cribriform Carcinoma	None	A carcinoma characterized by the presence of a cribriform architectural pattern. Representative examples include the intraductal cribriform breast carcinoma and invasive cribriform breast carcinoma.
Cylindroma	None	A benign sweat gland neoplasm usually occurring in the scalp or the face. It may present as solitary or multiple papular or nodular lesions. It may be a sporadic lesion or part of Brooke-Spiegler syndrome. It arises from the dermis and has a multinodular, circumscribed appearance. The nodules contain basaloid cells with small, dark nuclei. Complete excision is usually curative.
Cystadenoma	None	A benign or borderline cystic epithelial neoplasm arising from the glandular epithelium.  The epithelial cells line the cystic spaces which contain serous or mucinous fluid.  Representative examples include ovarian and pancreatic cystadenomas.
Cystic Partially Differentiated Kidney Nephroblastoma	None	A variant of Wilms tumor of the kidney characterized by the presence of cystic spaces separated by septa.  The septa contain immature epithelial cells, immature stromal cells, and blastema cells.  Surgical resection is usually curative.
